name,type,value,date
皇家方舟,iOS,18651,2018-07-29
昆西,Andriod,18573,2018-07-29
欧根亲王,iOS,18136,2018-07-29
声望,Andriod,17625,2018-07-29
萨拉托加,Andriod,17270,2018-07-29
空想,Andriod,17246,2018-07-29
海伦娜,Andriod,16192,2018-07-29
纳尔逊,Andriod,16143,2018-07-29
黎赛留,Andriod,15562,2018-07-29
贝尔法斯特,Andriod,14835,2018-07-29
提尔比茨,iOS,14500,2018-07-29
突击者,Andriod,14029,2018-07-29
罗德尼,iOS,13665,2018-07-29
大青花鱼,iOS,13070,2018-07-29
长春,Andriod,12803,2018-07-29
阿拉斯加,iOS,11474,2018-07-29
维内托,iOS,8506,2018-07-29
埃塞克斯,Andriod,23472,2018-07-30
胡德,Andriod,23284,2018-07-30
俾斯麦,Andriod,23047,2018-07-30
列克星敦,iOS,19647,2018-07-30
皇家方舟,iOS,18683,2018-07-30
昆西,Andriod,18618,2018-07-30
欧根亲王,iOS,18152,2018-07-30
声望,Andriod,17630,2018-07-30
萨拉托加,Andriod,17279,2018-07-30
空想,Andriod,17246,2018-07-30
海伦娜,Andriod,16201,2018-07-30
纳尔逊,Andriod,16182,2018-07-30
黎赛留,Andriod,15586,2018-07-30
贝尔法斯特,Andriod,14842,2018-07-30
提尔比茨,iOS,14512,2018-07-30
突击者,Andriod,14030,2018-07-30
罗德尼,iOS,13675,2018-07-30
大青花鱼,iOS,13080,2018-07-30
长春,Andriod,12832,2018-07-30
阿拉斯加,iOS,11481,2018-07-30
维内托,iOS,8509,2018-07-30
胡德,Andriod,20820,2018-07-31
埃塞克斯,Andriod,20628,2018-07-31
俾斯麦,Andriod,19909,2018-07-31
皇家方舟,iOS,16873,2018-07-31
列克星敦,iOS,16623,2018-07-31
昆西,Andriod,16588,2018-07-31
欧根亲王,iOS,16076,2018-07-31
声望,Andriod,15434,2018-07-31
空想,Andriod,15416,2018-07-31
萨拉托加,Andriod,14968,2018-07-31
海伦娜,Andriod,14188,2018-07-31
纳尔逊,Andriod,13497,2018-07-31
黎赛留,Andriod,13481,2018-07-31
贝尔法斯特,Andriod,12916,2018-07-31
提尔比茨,iOS,12781,2018-07-31
罗德尼,iOS,12268,2018-07-31
突击者,Andriod,12093,2018-07-31
大青花鱼,iOS,11325,2018-07-31
长春,Andriod,10544,2018-07-31
阿拉斯加,iOS,9687,2018-07-31
