name,type,value,date
休比,列克星敦,46437,2018-08-13
仓鲲娃,皇家方舟,70052,2018-08-14
辛西娅·玛格丽特,俾斯麦,62355,2018-08-14
里脊肉真好吃,胡德,60405,2018-08-14
琉璃,胡德,58564,2018-08-14
夜月风云雷光,埃塞克斯,57403,2018-08-14
啾啾南小鸟,俾斯麦,57273,2018-08-14
哈里斯梦娜,胡德,56525,2018-08-14
东方辉晔,黎赛留,53428,2018-08-14
alon,声望,52312,2018-08-14
嘉思,欧根亲王,51317,2018-08-14
银弹,皇家方舟,50354,2018-08-14
楹花,萨拉托加,50016,2018-08-14
凉薄已倾城,纳尔逊,49808,2018-08-14
海伦娜的娜,海伦娜,48354,2018-08-14
Detianyouxi,纳尔逊,48346,2018-08-14
水之证,欧根亲王,48286,2018-08-14
赤髮の白雪姬,空想,47717,2018-08-14
T.K,胡德,47477,2018-08-14
梦里花落知多少,黎赛留,47365,2018-08-14
休比,列克星敦,46443,2018-08-14
仓鲲娃,皇家方舟,70052,2018-08-15
辛西娅·玛格丽特,俾斯麦,62492,2018-08-15
里脊肉真好吃,胡德,60482,2018-08-15
琉璃,胡德,58681,2018-08-15
夜月风云雷光,埃塞克斯,57583,2018-08-15
啾啾南小鸟,俾斯麦,57508,2018-08-15
哈里斯梦娜,胡德,56642,2018-08-15
东方辉晔,黎赛留,53579,2018-08-15
alon,声望,52329,2018-08-15
嘉思,欧根亲王,51317,2018-08-15
银弹,皇家方舟,50644,2018-08-15
楹花,萨拉托加,50016,2018-08-15
凉薄已倾城,纳尔逊,49916,2018-08-15
水之证,欧根亲王,48544,2018-08-15
Detianyouxi,纳尔逊,48421,2018-08-15
海伦娜的娜,海伦娜,48395,2018-08-15
赤髮の白雪姬,空想,47757,2018-08-15
T.K,胡德,47737,2018-08-15
梦里花落知多少,黎赛留,47458,2018-08-15
休比,列克星敦,46621,2018-08-15
仓鲲娃,皇家方舟,70052,2018-08-16
辛西娅·玛格丽特,俾斯麦,62560,2018-08-16
里脊肉真好吃,胡德,60387,2018-08-16
琉璃,胡德,58681,2018-08-16
夜月风云雷光,埃塞克斯,57611,2018-08-16
啾啾南小鸟,俾斯麦,57508,2018-08-16
哈里斯梦娜,胡德,56642,2018-08-16
东方辉晔,黎赛留,53612,2018-08-16
alon,声望,52354,2018-08-16
嘉思,欧根亲王,51317,2018-08-16
银弹,皇家方舟,50645,2018-08-16
楹花,萨拉托加,50016,2018-08-16
