name,type,value,date
欧根亲王,iOS,16076,2018-07-31
声望,Andriod,15434,2018-07-31
空想,Andriod,15416,2018-07-31
萨拉托加,Andriod,14968,2018-07-31
海伦娜,Andriod,14188,2018-07-31
纳尔逊,Andriod,13497,2018-07-31
黎赛留,Andriod,13481,2018-07-31
贝尔法斯特,Andriod,12916,2018-07-31
提尔比茨,iOS,12781,2018-07-31
罗德尼,iOS,12268,2018-07-31
突击者,Andriod,12093,2018-07-31
大青花鱼,iOS,11325,2018-07-31
长春,Andriod,10544,2018-07-31
阿拉斯加,iOS,9687,2018-07-31
胡德,Andriod,21733,2018-08-01
埃塞克斯,Andriod,21471,2018-08-01
俾斯麦,Andriod,20397,2018-08-01
列克星敦,iOS,17719,2018-08-01
昆西,Andriod,17205,2018-08-01
皇家方舟,iOS,17204,2018-08-01
欧根亲王,iOS,16299,2018-08-01
空想,Andriod,15894,2018-08-01
声望,Andriod,15722,2018-08-01
萨拉托加,Andriod,15442,2018-08-01
海伦娜,Andriod,14431,2018-08-01
纳尔逊,Andriod,14191,2018-08-01
黎赛留,Andriod,14080,2018-08-01
贝尔法斯特,Andriod,13198,2018-08-01
提尔比茨,iOS,13021,2018-08-01
罗德尼,iOS,12596,2018-08-01
突击者,Andriod,12494,2018-08-01
大青花鱼,iOS,11748,2018-08-01
长春,Andriod,10857,2018-08-01
阿拉斯加,iOS,10152,2018-08-01
维内托,iOS,7111,2018-08-01
埃塞克斯,Andriod,22800,2018-08-02
胡德,Andriod,22668,2018-08-02
俾斯麦,Andriod,22087,2018-08-02
列克星敦,iOS,18740,2018-08-02
皇家方舟,iOS,18382,2018-08-02
昆西,Andriod,17967,2018-08-02
欧根亲王,iOS,17260,2018-08-02
声望,Andriod,17150,2018-08-02
萨拉托加,Andriod,16715,2018-08-02
空想,Andriod,16544,2018-08-02
海伦娜,Andriod,15363,2018-08-02
纳尔逊,Andriod,15322,2018-08-02
黎赛留,Andriod,15058,2018-08-02
贝尔法斯特,Andriod,13986,2018-08-02
提尔比茨,iOS,13910,2018-08-02
突击者,Andriod,13292,2018-08-02
罗德尼,iOS,13091,2018-08-02
大青花鱼,iOS,12651,2018-08-02
长春,Andriod,11822,2018-08-02
阿拉斯加,iOS,11077,2018-08-02
维内托,iOS,7559,2018-08-02
胡德,Andriod,22960,2018-08-03
埃塞克斯,Andriod,22871,2018-08-03
俾斯麦,Andriod,22157,2018-08-03
列克星敦,iOS,18854,2018-08-03
皇家方舟,iOS,18538,2018-08-03
昆西,Andriod,18089,2018-08-03
欧根亲王,iOS,17672,2018-08-03
声望,Andriod,17370,2018-08-03
萨拉托加,Andriod,16848,2018-08-03
空想,Andriod,16665,2018-08-03
海伦娜,Andriod,15551,2018-08-03
纳尔逊,Andriod,15395,2018-08-03
黎赛留,Andriod,15218,2018-08-03
贝尔法斯特,Andriod,14001,2018-08-03
提尔比茨,iOS,13910,2018-08-03
突击者,Andriod,13428,2018-08-03
罗德尼,iOS,13135,2018-08-03
大青花鱼,iOS,12662,2018-08-03
长春,Andriod,11829,2018-08-03
阿拉斯加,iOS,11147,2018-08-03
维内托,iOS,7700,2018-08-03
胡德,Andriod,23056,2018-08-04
埃塞克斯,Andriod,22871,2018-08-04
俾斯麦,Andriod,22232,2018-08-04
列克星敦,iOS,19285,2018-08-04
皇家方舟,iOS,18574,2018-08-04
昆西,Andriod,18137,2018-08-04
欧根亲王,iOS,17707,2018-08-04
声望,Andriod,17391,2018-08-04
萨拉托加,Andriod,16957,2018-08-04
空想,Andriod,16667,2018-08-04
海伦娜,Andriod,15629,2018-08-04
纳尔逊,Andriod,15402,2018-08-04
黎赛留,Andriod,15264,2018-08-04
贝尔法斯特,Andriod,14115,2018-08-04
提尔比茨,iOS,13964,2018-08-04
突击者,Andriod,13441,2018-08-04
罗德尼,iOS,13145,2018-08-04
大青花鱼,iOS,12687,2018-08-04
长春,Andriod,12167,2018-08-04
阿拉斯加,iOS,11298,2018-08-04
维内托,iOS,7802,2018-08-04
胡德,Andriod,23089,2018-08-06
埃塞克斯,Andriod,22958,2018-08-06
俾斯麦,Andriod,22324,2018-08-06
列克星敦,iOS,19383,2018-08-06
皇家方舟,iOS,18619,2018-08-06
昆西,Andriod,18211,2018-08-06
欧根亲王,iOS,17853,2018-08-06
声望,Andriod,17397,2018-08-06
萨拉托加,Andriod,16982,2018-08-06
空想,Andriod,16698,2018-08-06
海伦娜,Andriod,15704,2018-08-06
纳尔逊,Andriod,15468,2018-08-06
黎赛留,Andriod,15380,2018-08-06
贝尔法斯特,Andriod,14244,2018-08-06
提尔比茨,iOS,14036,2018-08-06
突击者,Andriod,13450,2018-08-06
罗德尼,iOS,13251,2018-08-06
大青花鱼,iOS,12992,2018-08-06
长春,Andriod,12171,2018-08-06
阿拉斯加,iOS,11321,2018-08-06
维内托,iOS,7934,2018-08-06
胡德,Andriod,23102,2018-08-07
埃塞克斯,Andriod,22973,2018-08-07
俾斯麦,Andriod,22400,2018-08-07
列克星敦,iOS,19408,2018-08-07
皇家方舟,iOS,18637,2018-08-07
昆西,Andriod,18217,2018-08-07
欧根亲王,iOS,17957,2018-08-07
声望,Andriod,17484,2018-08-07
萨拉托加,Andriod,17041,2018-08-07
空想,Andriod,16834,2018-08-07
海伦娜,Andriod,15730,2018-08-07
纳尔逊,Andriod,15522,2018-08-07
黎赛留,Andriod,15380,2018-08-07
贝尔法斯特,Andriod,14248,2018-08-07
提尔比茨,iOS,14084,2018-08-07
突击者,Andriod,13465,2018-08-07
罗德尼,iOS,13279,2018-08-07
大青花鱼,iOS,12997,2018-08-07
长春,Andriod,12246,2018-08-07
阿拉斯加,iOS,11326,2018-08-07
维内托,iOS,7936,2018-08-07
胡德,Andriod,23111,2018-08-08
埃塞克斯,Andriod,23006,2018-08-08
俾斯麦,Andriod,22420,2018-08-08
列克星敦,iOS,19408,2018-08-08
皇家方舟,iOS,18640,2018-08-08
昆西,Andriod,18239,2018-08-08
欧根亲王,iOS,18004,2018-08-08
声望,Andriod,17498,2018-08-08
萨拉托加,Andriod,17088,2018-08-08
空想,Andriod,16834,2018-08-08
海伦娜,Andriod,15742,2018-08-08
纳尔逊,Andriod,15575,2018-08-08
黎赛留,Andriod,15493,2018-08-08
贝尔法斯特,Andriod,14278,2018-08-08
提尔比茨,iOS,14084,2018-08-08
突击者,Andriod,13478,2018-08-08
罗德尼,iOS,13375,2018-08-08
大青花鱼,iOS,13011,2018-08-08
长春,Andriod,12246,2018-08-08
阿拉斯加,iOS,11328,2018-08-08
维内托,iOS,7960,2018-08-08
胡德,Andriod,23149,2018-08-09
埃塞克斯,Andriod,23020,2018-08-09
俾斯麦,Andriod,22463,2018-08-09
列克星敦,iOS,19428,2018-08-09
皇家方舟,iOS,18640,2018-08-09
昆西,Andriod,18362,2018-08-09
欧根亲王,iOS,18013,2018-08-09
声望,Andriod,17498,2018-08-09
萨拉托加,Andriod,17186,2018-08-09
空想,Andriod,16842,2018-08-09
海伦娜,Andriod,15859,2018-08-09
纳尔逊,Andriod,15699,2018-08-09
黎赛留,Andriod,15509,2018-08-09
贝尔法斯特,Andriod,14289,2018-08-09
提尔比茨,iOS,14084,2018-08-09
突击者,Andriod,13534,2018-08-09
罗德尼,iOS,13396,2018-08-09
大青花鱼,iOS,13016,2018-08-09
长春,Andriod,12246,2018-08-09
阿拉斯加,iOS,11331,2018-08-09
维内托,iOS,8021,2018-08-09
胡德,Andriod,23288,2018-08-10
埃塞克斯,Andriod,23042,2018-08-10
俾斯麦,Andriod,22505,2018-08-10
列克星敦,iOS,19433,2018-08-10
皇家方舟,iOS,18669,2018-08-10
昆西,Andriod,18363,2018-08-10
欧根亲王,iOS,18028,2018-08-10
声望,Andriod,17506,2018-08-10
萨拉托加,Andriod,17204,2018-08-10
